Date,AAPL,AXP,BA,HD,JNJ,KO,NKE,PFE,PG
2008-12-31,10.609017,15.433732,31.949532,17.48814,42.827595,14.418695,8.767929,11.631909,43.742935
2009-01-02,11.280237,16.082691,33.881317,18.33139,43.414574,14.61935,9.122084,11.999717,44.436378
2009-01-05,11.756306,16.598539,34.570168,18.772011,42.985069,14.472844,9.187415,11.927471,44.117966
2009-01-06,11.562399,17.53038,34.675007,19.189846,42.727379,14.240331,9.001738,11.691021,43.990597
2009-01-07,11.312555,16.791914,33.514427,18.665655,42.326519,14.310407,8.675092,11.487415,43.21933
2009-01-08,11.52262,16.817083,33.536896,18.528915,42.247768,14.409139,8.834981,11.592502,42.745255
2009-01-09,11.259108,16.137354,33.28231,18.126276,42.269264,14.205295,8.528959,11.454574,42.356064
2009-01-12,11.02045,15.80169,32.750694,17.450148,41.761021,13.928195,8.616639,11.402032,42.412678
2009-01-13,10.902367,15.935954,31.792284,17.100691,42.118931,14.020563,8.510048,11.553094,42.080124
2009-01-14,10.606528,14.96251,30.848848,16.644873,41.481842,13.574658,8.02008,11.323214,40.940899
2009-01-15,10.364144,14.534528,30.669142,17.328598,41.245617,13.810353,8.073371,11.421735,40.657867
2009-01-16,10.23363,14.274382,31.792284,17.624876,41.116776,13.963234,8.045867,11.49398,40.848927
2009-01-20,9.72027,13.091145,30.219889,16.705647,40.622852,13.657472,7.588557,11.296944,40.636635
2009-01-21,10.29578,14.156898,31.650026,16.925962,40.343693,13.788057,7.849876,11.480846,41.021412
2009-01-22,10.983161,13.477163,31.642532,16.690458,40.708755,13.73391,7.844718,11.303509,40.586758
2009-01-23,10.983161,13.426818,31.432877,16.500536,40.064529,13.440886,7.853313,11.461144,39.902706
2009-01-26,11.142265,12.755475,32.204113,17.26782,40.479702,13.705248,7.851595,10.278902,40.166359
2009-01-27,11.277751,13.997454,32.361332,16.804409,41.188354,13.800798,7.824085,10.39056,40.401497
2009-01-28,11.709072,14.979288,32.376328,17.472937,41.918507,13.969599,8.1834,10.140975,41.456078
2009-01-29,11.559913,14.02263,30.481951,16.713243,41.718063,13.870868,7.90661,9.9308,41.484573
2009-01-30,11.203172,14.039414,31.679972,16.356186,41.295731,13.606507,7.779387,9.576131,38.833881
2009-02-02,11.374706,14.249209,30.549343,16.386583,41.295731,13.45363,7.638411,9.779737,37.800697
2009-02-03,11.557426,13.502344,31.515249,16.652473,41.932827,13.797615,7.959901,9.983347,38.41349
2009-02-04,11.628279,13.728921,31.742115,16.508123,41.489002,13.504587,7.870504,9.775357,37.42305
2009-02-05,11.989989,14.291166,32.309364,17.017117,41.596363,13.596951,8.114633,9.728396,37.993076
2009-02-06,12.395209,15.046427,32.460629,17.875576,41.882706,13.870868,8.369076,9.956507,38.477604
2009-02-09,12.742009,14.89537,32.369858,17.541311,41.875542,13.475923,8.212628,9.869287,37.722305
2009-02-10,12.160281,13.401639,30.41103,16.872786,40.608547,12.953571,7.745005,9.439898,36.660618
2009-02-11,12.034739,13.728921,30.501799,16.819597,41.03804,13.144674,7.617785,9.647882,36.453976
2009-02-12,12.339273,13.586258,30.146338,16.69805,41.360157,14.138412,7.643571,9.829031,36.539474
2009-02-13,12.325603,13.208628,30.615242,16.120686,40.873386,13.96642,7.466492,9.782069,36.404102
2009-02-17,11.750091,11.714894,29.064814,15.148281,40.071678,13.568289,7.210331,9.560662,35.705803
2009-02-18,11.730202,11.832384,28.724482,15.04192,39.96431,13.59377,7.481966,9.500282,36.304337
2009-02-19,11.266564,10.800194,28.414381,15.31541,40.035885,13.791241,7.359902,9.41306,36.43261
2009-02-20,11.336176,10.884112,27.461447,14.783621,39.444054,13.644731,7.380532,9.198366,35.805561
2009-02-23,10.807899,10.195989,26.062284,14.213858,38.72229,13.40585,7.1536,8.903161,34.843616
2009-02-24,11.218087,11.429575,26.803461,15.702856,39.364658,13.714796,7.382252,9.117856,35.463539
2009-02-25,11.331197,10.96803,25.646315,15.429362,38.94603,13.495028,7.246439,8.775683,35.570415
2009-02-26,11.08633,10.548441,24.738749,15.680067,37.848976,13.080975,7.053885,8.520733,34.89349
2009-02-27,11.101242,10.120462,23.778236,15.869982,36.087868,13.010904,7.139844,8.25907,34.323456
2009-03-02,10.930953,9.281284,22.318569,15.133087,34.586624,12.641439,6.835545,7.822968,33.397144
2009-03-03,10.984401,9.919059,22.205126,14.350599,34.384518,12.36753,6.885402,7.963865,33.226139
2009-03-04,11.332444,9.826755,22.923618,14.441761,35.43829,12.654182,7.315204,8.386546,33.710667
2009-03-05,11.042822,8.668686,22.227818,13.788424,34.406181,12.05539,7.031748,8.500604,32.349697
